data-id;url;url-2;author;year ;name;description;section;price
0;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_adventures-of-augie-march.jpg?w=260;img/book_title/0;Saul Bellow;1953;The Adventures of Augie March;Augie comes on stage with one of literature's most famous opening lines. 'I am an American, Chicago born, and go at things as I have taught myself, free-style, and will make the record in my own way: first to knock, first admitted.' It's the 'Call me Ishmael' of mid-20th-century American fiction. (For the record, Bellow was born in Canada.) Or it would be if Ishmael had been more like Tom Jones with a philosophical disposition. With this teeming book Bellow returned a Dickensian richness to the American novel. As he makes his way to a full brimming consciousness of himself, Augie careens through numberless occupations and countless mentors and exemplars, all the while enchanting us with the slapdash American music of his voice.;Pre-orders;11.50
1;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_allthekingsmen03.jpg?w=260;img/book_title/1;Robert Penn Warren;1946;All the King's Men;More than just a classic political novel, Warren's tale of power and corruption in the Depression-era South is a sustained meditation on the unforeseen consequences of every human act, the vexing connectedness of all people and the possibility it's not much of one of goodness in a sinful world. Willie Stark, Warren's lightly disguised version of Huey Long, the onetime Louisiana strongman/governor, begins as a genuine tribune of the people and ends as a murderous populist demagogue. Jack Burden is his press agent, who carries out the boss's orders, first without objection, then in the face of his own increasingly troubled conscience. And the politics? For Warren, that's simply the arena most likely to prove that man is a fallen creature. Which it does.;New;12.25
2;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_american-pastoral.jpg?w=260;img/book_title/2;Philip Roth;1997;American Pastoral;To decipher the late 1960's through the story of Swede Levov, whose life is cast into the fires of those years, Roth calls again upon the saturnine side of his disposition. It answers to the purpose as never before. Good-looking, prosperous Swede, who has inherited his father's glove factory in Newark, N.J., and married a former beauty queen, is not stupid, merely fulfilled. Is it this that gives him insufficient means to comprehend the Newark riots of 1967 or the transformation of his beloved daughter into a venomous teenage radical, a child capable of cold-blooded terrorism? Roth's own means are more than sufficient. A writer who is unafraid to linger in the minds of furious men, he leads us fearlessly through this man's grief, bewilderment and rage.;Pre-orders;18.20
3;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_an_american_tragedy_theodore_dreiser_dust_jacket.jpg?w=260;img/book_title/3;Theodore Dreiser;1925;An American Tragedy;Clyde Griffiths is a young man with ambitions. He's in love with a rich girl, but it's a poor girl he has gotten pregnant, Roberta Alden, who works with him at his uncle's factory. One day he takes Roberta canoeing on a lake with the intention of killing her. From there his fate is sealed. But by then Dreiser has made plain that Clyde's fate was long before sealed by a brutal and cynical society. The usual criticism of Dreiser is that, line for line, he's the weakest of the great American novelists. And it's true that he takes a pipe fitter's approach to writing, joining workmanlike sentences one to the other. But by the end he will have built them into a powerful network, and something vital will be flowing through them.;Pre-orders;19.99
4;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_animalfarm.jpg?w=260;img/book_title/4;George Orwell;1946;Animal Farm;No writer has ever been more naked in his contempt for power, or more ruthless in his critique of those who abuse it, than the Englishman born Eric Blair, better known to the world as George Orwell. In Animal Farm he restages the hypocrisies of the Russian Revolution with the principal figures played by, of all things, farm animals. By presenting atrocities in the terms of a fairy tale, he makes them fresh, restoring to readers numbed by the 20th century's parade of disasters a sense of shock and outrage. Paradoxically, by turning Trotsky and Lenin and their followers into pigs and horses and chickens, he reveals them as all too human.;New;25.00
5;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_appointment-in-samarra01.jpg?w=260;img/book_title/5;John O'Hara;1934;Appointment in Samarra;O'Hara did for fictional Gibbsville, Pennsylvania, what Faulkner did for Yoknapatawpha County, Mississippi: surveyed its social life and drew its psychic outlines. But he did it in utterly worldly terms, without Faulkner's taste for mythic inference or the basso profundo of his prose. Julian English is a man who squanders what fate gave him. He lives on the right side of the tracks, with a country club membership and a wife who loves him. His decline and fall, over the course of just 72 hours around Christmas, is a matter of too much spending, too much liquor and a couple of reckless gestures. (Now Julian, don't throw that drink in the well-connected Irishman's face. Don't make that pass at the gangster's mistress.) That his calamity is petty and preventable only makes it more powerful. In Faulkner the tragedies all seem to be taking place on Olympus, even when they're happening among the lowlifes. In O'Hara they could be happening to you.;Pre-orders;36.25
6;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_areyoutheregoditsmemargaret.jpg?w=260;img/book_title/6;Judy Blume;1970;Are You There God? It's Me, Margaret;You could almost hear the collective generational sigh of relief in 1970 when Blume published this groundbreaking, taboo-trampling young adult novel: finally, a book that talks frankly about sex without being prim or prurient, and about religion without scolding or condescending. A few months shy of her 12th birthday, Margaret Simon is starting school in a new town and asking God some serious questions. Like, when is she going to get her period? What bra should she buy? And if her mom is Jewish and her dad is Christian, is she supposed to join the Y or the Jewish Community Center? Blume turned millions of pre-teens into readers. She did it by asking the right questions and avoiding pat, easy answers.;Pre-orders;12.80
7;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_assistant_1st.jpg?w=260;img/book_title/7;Bernard Malamud;1957;The Assistant;Malamud was a writer who always had one eye fixed on the eternal and one on the here and now. The eternal was the realm of moral quandaries. The here and now was usually a world of struggling 20th-century Jews. It was his genius to show the two constantly intersecting. In this book, his masterpiece, Morris Bober is a woebegone neighborhood grocer whose modest store is failing and whose luck actually takes a turn for the worse when he is held up by masked hoodlums. Or is it worse? When a stranger appears and offers to work without pay, 'for the experience', it doesn't take long for the reader to realize that the stranger is one of the men who robbed Bober. But just what are his motives in returning? He seems to be seeking to atone, but he soon begins quietly robbing the till, while also falling in love with Bober's daughter, theft of a different kind. From this intricate material Malamud builds a devastating meditation upon suffering, penance and forgiveness, and the ways in which the weight of the world can be lifted, just a little, by determined acts of grace.;New;6.99
8;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_atswimtwobirds.jpg?w=260;img/book_title/8;Flann O'Brien;1938;At Swim-Two-Birds;O'Brien in real life Irishman Brian O'Nolan would have been disappointed if anybody could come up with a coherent summary of this brilliant, beer-soaked miniature masterpiece. One of the best-kept secrets of 20th-century literature, At Swim-Two-Birds is ostensibly a novel about a lazy, impoverished college student who's writing a novel ('One beginning and one ending for a book is a thing I did not agree with,' he opines), but his characters won't stay put, and they get mixed up with all kinds of local Dublin types and figures out of Gaelic myth it's like Ulysses played out in a comic mode, on a more human scale. Dylan Thomas said of it, 'This is just the book to give your sister if she's a loud, dirty, boozy girl.' Even better to keep it for yourself.;Pre-orders;11.00
9;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_atonement.jpg?w=260;img/book_title/9;Ian McEwan;2002;Atonement;A magnificent deception. Briony Tallis, the intricate English girl at the center of Atonement, is a budding writer. At the age of 13 she believes that through her powers of invention and language, 'an unruly world could be made just so.' In a complicated way, she turns out to be right, but only after she turns out to be catastrophically wrong. In the first half of the book, she passionately misunderstands a series of events she witnesses on a summer day in 1935, which leads her to formulate a lie that ruins the lives of her older sister Cecilia and Cecilia's lover Robbie. So much for the virtues of the imagination. But McEwan is crafty. Even as he shows us the deadly force of storytelling, he demonstrates its beguilements on every page. Then he leads us to a surprise ending in which the power of fiction, which has been used to undo lives, is used again to make heartbroken amends.;Pre-orders;8.99
10;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_beloved.jpg?w=260;img/book_title/10;Toni Morrison;1987;Beloved;Sethe is an escaped slave in post-Civil War Ohio. Her body is scarred from the atrocities of her white owners, but it's her memories that really torture her: she killed her 2-year-old daughter, Beloved, so the child would never know the sufferings of a life of servitude. But in Morrison's novels the present is never safe from the past, and Beloved returns as an angry, hungry ghost. Sethe must come to terms with her, exorcise her, if she ever wants to move forward and find peace. Rich with historical, political and above all personal resonances, written in prose that melts and runs with the heat of the emotion it carries, Beloved is a deeply American, urgently important novel that searches for that final balance between grief, anger and acceptance.;New;7.00
11;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_berlinstories.jpg?w=260;img/book_title/11;Christopher Isherwood;1946;The Berlin Stories;"I am a camera with its shutter open.' There is something unmistakably 20th Century about this, the opening line to Goodbye to Berlin. In their coolness and clarity and melancholy detachment these words express more about a moment in time than most entire novels do. Berlin Stories is not quite a novel; it's actually two short ones stuck together, The Last of Mr. Norris and Goodbye to Berlin. But they form one coherent snapshot of a lost world, the antic, cosmopolitan Berlin of the 1930's, where jolly expatriates dance faster and faster, as if that would save them from the creeping rise of Nazism. One of Isherwood's greatest characters, the racy, doomed Sally Bowles, took center stage in the book's musical adaptation, Cabaret, but the theatrical version can't match the power and richness of the original.";Pre-orders;5.50
